TCGA-VQ-A94P TCGA-VQ-A94P TCGA-VQ-A94P
7.5965 0.1387 0.5203
2.5282 0.17705 0.127
10.3647 0.0304 0.6259
8.8138 0.0427 0.738
5.0424 0.0463 0.0665
7.0319 0.24295 0.2275
12.3368 0.0574 0.7876
0.0 0.669 0.3363
10.7333 0.1508 0.3447
2.6612 0.19795 0.93445
4.3402 0.2101 0.5554
2.6612 0.1594 0.4576
8.4224 0.6514 0.7764
10.0938 0.4859 0.6596
0.4954 0.8932 0.8549
9.2502 0.1283 0.68
4.0503 0.0442 0.51175
3.7323 0.29725 0.3608
8.4429 0.25675 0.0568
7.4555 0.05475 0.61575
0.4954 0.4446 0.5044
7.4521 0.0291 0.701
5.3627 0.20365 0.8279
0.0 0.50465 0.7534
12.6404 0.4696 0.3812
0.0 0.12065 0.25015
6.7484 0.7862 0.55105
12.6007 0.1292 0.5057
7.7417 0.05585 0.0755
7.1819 0.4759 0.406
7.7527 0.3645 0.9029
6.8746 0.5926 0.6221
8.1932 0.668 0.1975
2.3496 0.84835 0.44735
5.9072 0.1538 0.42575
9.7681 0.0739 0.87195
5.7508 0.2785 0.1887
9.938 0.0336 0.4534
2.4611 0.4039 0.69145
6.3157 0.1699 0.8311
11.3016 0.7028 0.0704
5.4191 0.3772 0.3056
8.1079 0.1054 0.0561
2.0967 0.0628 0.6204
9.472 0.04145 0.19745
7.3723 0.0892 0.1675
4.2806 0.1253 0.3247
8.1036 0.7246 0.1647
4.7881 0.3692 0.5829
8.1397 0.4571 0.5642
4.8302 0.5248 0.85235
7.4953 0.2191 0.29115
8.7698 0.39575 0.872
7.7444 0.5959 0.883
0.8634 0.86385 0.7093
10.7344 0.3834 0.5063
TCGA-VQ-A8PE TCGA-VQ-A8PE TCGA-VQ-A8PE
6.1224 0.2322 0.61305
5.0417 0.4667 0.8553
7.4648 0.31235 0.37495
3.967 0.059 0.3895
7.1956 0.0445 0.8252
13.1582 0.4213 0.55445
1.0459 0.9311 0.8647
0.3405 0.1272 0.0543
10.7447 0.5615 0.8829
7.0953 0.8771 0.8867
1.2208 0.3499 0.52285
1.6458 0.0277 0.2751
7.0525 0.0585 0.3333
13.9891 0.4125 0.4176
8.1426 0.1117 0.5646
2.5337 0.5359 0.8703
3.2505 0.381 0.5775
